regulon_name,regulated_genes,regulated_operon,regulated_tu,total_of_regulatory_interaction,total_of_binding_sites,geneId,leftEndPos,rightEndPos,strand,geneSynonyms,otherDbsGeneIds,productId,productName,productSynonyms,otherDbsProductsIds 
lrp,367,44,71,518,443,RDBECOLIGNC00539,932595.0,933089.0,forward,"rblA,oppI,mbf,lstR,alsB,ihb,livR,lrs,lss,EG10547",[STRING:511145.b0889][ASAP:ABE-0003023][ECHOBASE:EB0542][OU-MICROARRAY:b0889][CGSC:549][ECOCYC:EG10547][REFSEQ:b0889],RDBECOLIPDC03948,DNA-binding transcriptional dual regulator Lrp,"LstR,Mbf,OppI,RblA,Lss,Lrs,Ihb,Lrp,LivR,AlsB",[ALPHAFOLD:P0ACJ0][PFAM:PF01037][INTERPRO:IPR000485][SMR:P0ACJ0][DIP:DIP-35825N][SMART:SM00344][PROSITE:PS00519][PDB:2GQQ][PRIDE:P0ACJ0][PRINTS:PR00033][PRODB:PRO_000023126][ECOLIWIKI:b0889][REFSEQ:NP_415409][UNIPROT:P0ACJ0][ECOCYC:PD00353] 
cynr,4,2,3,4,4,RDBECOLIGNC01384,357791.0,358690.0,reverse,EG11421,[STRING:511145.b0338][ASAP:ABE-0001165][ECHOBASE:EB1391][OU-MICROARRAY:b0338][CGSC:31255][ECOCYC:EG11421][REFSEQ:b0338],RDBECOLIPDC03941,DNA-binding transcriptional dual regulator CynR,CynR,[ALPHAFOLD:P27111][INTERPRO:IPR005119][PFAM:PF03466][PRIDE:P27111][SMR:P27111][DIP:DIP-9364N][PROSITE:PS50931][PDB:2HXR][PRINTS:PR00039][PRODB:PRO_000022365][ECOLIWIKI:b0338][REFSEQ:NP_414872][MODBASE:P27111][UNIPROT:P27111][ECOCYC:PD00291] 
mqsa,8,4,5,7,6,RDBECOLIGNC04376,3167851.0,3168246.0,reverse,"ygiT,G7571",[STRING:511145.b3021][ASAP:ABE-0009923][ECHOBASE:EB2840][OU-MICROARRAY:b3021][ECOCYC:G7571][REFSEQ:b3021],RDBECOLIPDC02967,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,"MqsA,YgiT",[ALPHAFOLD:Q46864][PFAM:PF15731][INTERPRO:IPR001387][PDB:3HI2][SMR:Q46864][DIP:DIP-12226N][SMART:SM00530][PROSITE:PS50943][PRIDE:Q46864][ECOLIWIKI:b3021][REFSEQ:NP_417493][UNIPROT:Q46864][ECOCYC:G7571-MONOMER] 
dnaa,18,11,14,32,29,RDBECOLIGNC00229,3882326.0,3883729.0,reverse,EG10235,[STRING:511145.b3702][ASAP:ABE-0012103][ECHOBASE:EB0231][OU-MICROARRAY:b3702][CGSC:851][ECOCYC:EG10235][REFSEQ:b3702],RDBECOLIPDC03984,chromosomal replication initiator protein DnaA,"DnaA,chromosomal replication initiator protein/DNA-binding transcriptional dual regulator DnaA",[ALPHAFOLD:P03004][INTERPRO:IPR003593][PANTHER:PTHR30050:SF2][PFAM:PF08299][SMR:P03004][DIP:DIP-9455N][SMART:SM00382][PROSITE:PS01008][PDB:1J1V][PRIDE:P03004][PRINTS:PR00051][PRODB:PRO_000022459][ECOLIWIKI:b3702][REFSEQ:NP_418157][MODBASE:P03004][SWISSMODEL:P03004][UNIPROT:P03004][ECOCYC:PD03831] 
csgd,28,13,16,37,26,RDBECOLIGNC03411,1102546.0,1103196.0,reverse,G6546,[STRING:511145.b1040][ASAP:ABE-0003530][ECHOBASE:EB3186][OU-MICROARRAY:b1040][ECOCYC:G6546][REFSEQ:b1040],RDBECOLIPDC03970,DNA-binding transcriptional dual regulator CsgD,CsgD,[ALPHAFOLD:P52106][INTERPRO:IPR016032][PFAM:PF00196][SMR:P52106][DIP:DIP-9328N][SMART:SM00421][PROSITE:PS00622][PRIDE:P52106][PRINTS:PR00038][ECOLIWIKI:b1040][MODBASE:P52106][SWISSMODEL:P52106][REFSEQ:NP_415558][UNIPROT:P52106][ECOCYC:PD01379] 
sdia,8,6,8,12,7,RDBECOLIGNC00923,1996110.0,1996832.0,reverse,EG10935,[STRING:511145.b1916][ASAP:ABE-0006381][ECHOBASE:EB0928][OU-MICROARRAY:b1916][CGSC:30919][ECOCYC:EG10935][REFSEQ:b1916],RDBECOLIPDC03973,DNA-binding transcriptional dual regulator SdiA,SdiA,[ALPHAFOLD:P07026][INTERPRO:IPR016032][PFAM:PF00196][PDB:2AVX][SMR:P07026][SMART:SM00421][PROSITE:PS00622][PRIDE:P07026][PRINTS:PR00038][PRODB:PRO_000023922][ECOLIWIKI:b1916][MODBASE:P07026][REFSEQ:NP_416426][UNIPROT:P07026][ECOCYC:PD02198] 
arac,18,7,9,28,23,RDBECOLIGNC00050,70387.0,71265.0,forward,EG10054,[STRING:511145.b0064][ASAP:ABE-0000236][ECHOBASE:EB0052][OU-MICROARRAY:b0064][CGSC:1026][ECOCYC:EG10054][REFSEQ:b0064],RDBECOLIPDC03931,AraC,AraC,[ALPHAFOLD:P0A9E0][INTERPRO:IPR009057][PFAM:PF12833][PRIDE:P0A9E0][DIP:DIP-9125N][PDB:2ARC][SMR:P0A9E0][SMART:SM00342][PROSITE:PS00041][PRINTS:PR00032][PRODB:PRO_000022116][ECOLIWIKI:b0064][MODBASE:P0A9E0][UNIPROT:P0A9E0][REFSEQ:NP_414606][ECOCYC:PD00242] 
gadw,15,8,12,53,30,RDBECOLIGNC02120,3663890.0,3664618.0,reverse,"yhiW,EG12242",[STRING:511145.b3515][ASAP:ABE-0011482][ECHOBASE:EB2153][OU-MICROARRAY:b3515][ECOCYC:EG12242][REFSEQ:b3515],RDBECOLIPDC01486,DNA-binding transcriptional dual regulator GadW,"YhiW,GadW",[ALPHAFOLD:P63201][PFAM:PF12833][PRIDE:P63201][SMR:P63201][INTERPRO:IPR009057][SMART:SM00342][PROSITE:PS00041][PRINTS:PR00032][PRODB:PRO_000022744][ECOLIWIKI:b3515][MODBASE:P63201][UNIPROT:P63201][REFSEQ:NP_417972][ECOCYC:EG12242-MONOMER] 
fucr,7,2,2,2,1,RDBECOLIGNC00347,2939368.0,2940099.0,forward,EG10353,[STRING:511145.b2805][ASAP:ABE-0009195][ECHOBASE:EB0349][OU-MICROARRAY:b2805][CGSC:10884][ECOCYC:EG10353][REFSEQ:b2805],RDBECOLIPDC03959,DNA-binding transcriptional activator FucR,FucR,[ALPHAFOLD:P0ACK8][INTERPRO:IPR014036][PFAM:PF00455][SMART:SM00420][PROSITE:PS00894][PRIDE:P0ACK8][PRINTS:PR00037][PRODB:PRO_000022732][ECOLIWIKI:b2805][MODBASE:P0ACK8][UNIPROT:P0ACK8][REFSEQ:NP_417285][ECOCYC:PD00444] 
dcur,12,6,8,11,10,RDBECOLIGNC04568,4349315.0,4350034.0,reverse,"yjdG,G7826",[STRING:511145.b4124][ASAP:ABE-0013507][ECHOBASE:EB2357][OU-MICROARRAY:b4124][ECOCYC:G7826][REFSEQ:b4124],RDBECOLIPDC00312,DNA-binding transcriptional activator DcuR,"YjdG,DcuR response regulator,DcuR",[ALPHAFOLD:P0AD01][REFSEQ:NP_418548][PANTHER:PTHR45526][PFAM:PF00072][PRIDE:P0AD01][SMR:P0AD01][DIP:DIP-48032N][INTERPRO:IPR011006][SMART:SM00448][PROSITE:PS50110][PRODB:PRO_000022415][ECOLIWIKI:b4124][MODBASE:P0AD01][UNIPROT:P0AD01][ECOCYC:DCUR-MONOMER] 
trer,2,1,1,2,2,RDBECOLIGNC02085,4466299.0,4467246.0,reverse,EG12202,[STRING:511145.b4241][ASAP:ABE-0013875][ECHOBASE:EB2118][OU-MICROARRAY:b4241][ECOCYC:EG12202][REFSEQ:b4241],RDBECOLIPDC01459,DNA-binding transcriptional repressor TreR,TreR,[INTERPRO:IPR010982][ALPHAFOLD:P36673][PFAM:PF13377][PDB:4XXH][SMR:P36673][DIP:DIP-11026N][SMART:SM00354][PROSITE:PS00356][PRIDE:P36673][PRINTS:PR00036][PRODB:PRO_000024110][ECOLIWIKI:b4241][MODBASE:P36673][REFSEQ:NP_418662][UNIPROT:P36673][ECOCYC:EG12202-MONOMER] 
nagc,44,15,20,30,27,RDBECOLIGNC00628,700374.0,701594.0,reverse,"nagR,EG10636",[STRING:511145.b0676][ASAP:ABE-0002299][ECHOBASE:EB0630][OU-MICROARRAY:b0676][CGSC:31479][ECOCYC:EG10636][REFSEQ:b0676],RDBECOLIPDC03937,DNA-binding transcriptional dual regulator NagC,"NagR,NagC,transcriptional repressor of nag (N-acetylglucosamine) operon",[ALPHAFOLD:P0AF20][INTERPRO:IPR000600][PANTHER:PTHR18964][PFAM:PF00480][SMR:P0AF20][DIP:DIP-35984N][PROSITE:PS01125][PRIDE:P0AF20][PRODB:PRO_000023338][ECOLIWIKI:b0676][MODBASE:P0AF20][SWISSMODEL:P0AF20][UNIPROT:P0AF20][REFSEQ:NP_415202][ECOCYC:PD00266] 
fabr,2,2,2,2,2,RDBECOLIGNC01360,4161067.0,4161771.0,forward,"yijC,EG11394",[STRING:511145.b3963][ASAP:ABE-0012979][ECHOBASE:EB1367][OU-MICROARRAY:b3963][ECOCYC:EG11394][REFSEQ:b3963],RDBECOLIPDC01002,DNA-binding transcriptional repressor FabR,"FabR,YijC",[ALPHAFOLD:P0ACU5][PFAM:PF00440][DIP:DIP-12520N][SMR:P0ACU5][INTERPRO:IPR009057][PROSITE:PS50977][PRIDE:P0ACU5][PRODB:PRO_000022566][ECOLIWIKI:b3963][MODBASE:P0ACU5][UNIPROT:P0ACU5][REFSEQ:NP_418398][ECOCYC:EG11394-MONOMER] 
mlra,10,4,6,5,4,RDBECOLIGNC01924,2214866.0,2215597.0,forward,"yehV,EG12008",[STRING:511145.b2127][ASAP:ABE-0007030][ECHOBASE:EB1946][OU-MICROARRAY:b2127][ECOCYC:EG12008][REFSEQ:b2127],RDBECOLIPDC01362,DNA-binding transcriptional activator MlrA,"MlrA,YehV",[ALPHAFOLD:P33358][MINT:P33358][PFAM:PF13411][SMR:P33358][INTERPRO:IPR009061][SMART:SM00422][PROSITE:PS00552][PRIDE:P33358][PRODB:PRO_000023244][ECOLIWIKI:b2127][MODBASE:P33358][REFSEQ:NP_416631][UNIPROT:P33358][ECOCYC:EG12008-MONOMER] 
mpra,6,3,3,3,3,RDBECOLIGNC00595,2810770.0,2811300.0,forward,"emrR,EG10603",[STRING:511145.b2684][ASAP:ABE-0008834][ECHOBASE:EB0598][OU-MICROARRAY:b2684][CGSC:33255][ECOCYC:EG10603][REFSEQ:b2684],RDBECOLIPDC00558,DNA-binding transcriptional regulator MprA,"MprA,EmrR",[ALPHAFOLD:P0ACR9][INTERPRO:IPR000835][PFAM:PF01047][DIP:DIP-10248N][SMR:P0ACR9][SMART:SM00347][PROSITE:PS01117][PRIDE:P0ACR9][PRINTS:PR00598][PRODB:PRO_000023279][ECOLIWIKI:b2684][MODBASE:P0ACR9][UNIPROT:P0ACR9][REFSEQ:NP_417169][ECOCYC:EG10603-MONOMER] 
kdgr,2,2,2,2,2,RDBECOLIGNC03853,1909308.0,1910099.0,reverse,"yebP,G7003",[STRING:511145.b1827][ASAP:ABE-0006081][ECHOBASE:EB3772][OU-MICROARRAY:b1827][ECOCYC:G7003][REFSEQ:b1827],RDBECOLIPDC02516,DNA-binding transcriptional repressor KdgR,"YebP,KdgR",[ALPHAFOLD:P76268][INTERPRO:IPR014757][PFAM:PF01614][SMR:P76268][DIP:DIP-10057N][SMART:SM00346][PROSITE:PS51077][PRIDE:P76268][PDB:1YSP][PRODB:PRO_000023048][ECOLIWIKI:b1827][MODBASE:P76268][REFSEQ:NP_416341][UNIPROT:P76268][ECOCYC:G7003-MONOMER] 
trpr,12,5,6,10,10,RDBECOLIGNC01017,4632760.0,4633086.0,forward,"rtrY,EG11029",[STRING:511145.b4393][ASAP:ABE-0014408][ECHOBASE:EB1022][OU-MICROARRAY:b4393][CGSC:68][ECOCYC:EG11029][REFSEQ:b4393],RDBECOLIPDC03956,DNA-binding transcriptional repressor TrpR,"RtrY,TrpR",[ALPHAFOLD:P0A881][PDB:1ZT9][INTERPRO:IPR000831][PANTHER:PTHR38025][PFAM:PF01371][SMR:P0A881][DIP:DIP-48204N][PRIDE:P0A881][PRODB:PRO_000024124][ECOLIWIKI:b4393][UNIPROT:P0A881][REFSEQ:NP_418810][ECOCYC:PD00423] 
gals,10,5,17,18,13,RDBECOLIGNC00358,2240628.0,2241668.0,reverse,"mglD,EG10365",[STRING:511145.b2151][ASAP:ABE-0007110][ECHOBASE:EB0360][OU-MICROARRAY:b2151][CGSC:499][ECOCYC:EG10365][REFSEQ:b2151],RDBECOLIPDC03936,DNA-binding transcriptional dual regulator GalS,"MglD,GalS",[INTERPRO:IPR010982][ALPHAFOLD:P25748][PFAM:PF13377][SMR:P25748][DIP:DIP-9734N][SMART:SM00354][PROSITE:PS00356][PRIDE:P25748][PRINTS:PR00036][PRODB:PRO_000022748][ECOLIWIKI:b2151][REFSEQ:NP_416656][MODBASE:P25748][UNIPROT:P25748][ECOCYC:PD00261] 
mode,46,8,9,9,7,RDBECOLIGNC03264,793856.0,794644.0,reverse,"chlD,modR,G6395",[STRING:511145.b0761][ASAP:ABE-0002585][ECHOBASE:EB3017][OU-MICROARRAY:b0761][ECOCYC:G6395][REFSEQ:b0761],RDBECOLIPDC03549,DNA-binding transcriptional dual regulator ModE,"ModR,ChlD,ModE-MoO<sub>4</sub><sup>2-</sup>,ModE",[ALPHAFOLD:P0A9G8][PROSITE:PS51866][INTERPRO:IPR004606][PFAM:PF03459][DIP:DIP-10238N][SMR:P0A9G8][PRIDE:P0A9G8][PDB:1B9M][PRODB:PRO_000023270][ECOLIWIKI:b0761][MODBASE:P0A9G8][UNIPROT:P0A9G8][REFSEQ:NP_415282][ECOCYC:MONOMER0-185] 
zur,7,4,4,5,5,RDBECOLIGNC01854,4259488.0,4260003.0,reverse,"yjbK,znuR,EG11929",[STRING:511145.b4046][ASAP:ABE-0013249][ECHOBASE:EB1873][OU-MICROARRAY:b4046][ECOCYC:EG11929][REFSEQ:b4046],RDBECOLIPDC01310,DNA-binding transcriptional repressor Zur,"ZnuR,YjbK,Zur",[ALPHAFOLD:P0AC51][INTERPRO:IPR002481][PANTHER:PTHR33202][PFAM:PF01475][PRIDE:P0AC51][DIP:DIP-12953N][PDB:4MTE][SMR:P0AC51][PRODB:PRO_000024259][ECOLIWIKI:b4046][MODBASE:P0AC51][UNIPROT:P0AC51][REFSEQ:NP_418470][ECOCYC:EG11929-MONOMER] 
ydci,4,1,1,3,1,RDBECOLIGNC03593,1494148.0,1495071.0,reverse,G6737,[STRING:511145.b1422][ASAP:ABE-0004746][ECHOBASE:EB3515][OU-MICROARRAY:b1422][ECOCYC:G6737][REFSEQ:b1422],RDBECOLIPDC02302,DNA-binding transcriptional dual regulator YdcI,YdcI,[ALPHAFOLD:P77171][INTERPRO:IPR005119][PFAM:PF03466][SMR:P77171][PROSITE:PS50931][PRIDE:P77171][PRINTS:PR00039][ECOLIWIKI:b1422][MODBASE:P77171][REFSEQ:NP_415939][UNIPROT:P77171][ECOCYC:G6737-MONOMER] 
lldr,3,1,1,3,3,RDBECOLIGNC01885,3779054.0,3779830.0,forward,"lct,lctR,EG11962",[STRING:511145.b3604][ASAP:ABE-0011782][ECHOBASE:EB1905][ECOO157CYC:LLDR][OU-MICROARRAY:b3604][CGSC:35164][ECOCYC:EG11962][REFSEQ:b3604],RDBECOLIPDC01330,DNA-binding transcriptional dual regulator LldR,"Lct,LldR,LctR",[ALPHAFOLD:P0ACL7][INTERPRO:IPR011711][PFAM:PF07729][DIP:DIP-10110N][SMR:P0ACL7][SMART:SM00895][PROSITE:PS50949][PRIDE:P0ACL7][PRINTS:PR00035][ECOLIWIKI:b3604][MODBASE:P0ACL7][UNIPROT:P0ACL7][REFSEQ:NP_418061][ECOO157CYC:LLDR-MONOMER][ECOCYC:EG11962-MONOMER] 
nsrr,86,35,40,47,44,RDBECOLIGNC01191,4406190.0,4406615.0,forward,"yjeB,EG11212",[STRING:511145.b4178][ASAP:ABE-0013676][ECHOBASE:EB1197][OU-MICROARRAY:b4178][ECOCYC:EG11212][REFSEQ:b4178],RDBECOLIPDC00890,DNA-binding transcriptional regulator NsrR,"YjeB,NsrR",[ALPHAFOLD:P0AF63][INTERPRO:IPR000944][PANTHER:PTHR33221][PFAM:PF02082][SMR:P0AF63][DIP:DIP-48211N][PROSITE:PS01332][PRIDE:P0AF63][PRODB:PRO_000023418][ECOLIWIKI:b4178][MODBASE:P0AF63][UNIPROT:P0AF63][REFSEQ:NP_418599][ECOCYC:EG11212-MONOMER] 
dksa,162,53,70,88,0,RDBECOLIGNC00224,160149.0,160604.0,reverse,"msmA,EG10230",[STRING:511145.b0145][ASAP:ABE-0000499][ECHOBASE:EB0226][OU-MICROARRAY:b0145][CGSC:30521][ECOCYC:EG10230][REFSEQ:b0145],RDBECOLIPDC00432,RNA polymerase-binding transcription factor DksA,"MsmA,DksA",[ALPHAFOLD:P0ABS1][PDB:1TJL][INTERPRO:IPR012784][MINT:P0ABS1][PFAM:PF01258][DISPROT:DP00414][SMR:P0ABS1][DIP:DIP-31875N][PROSITE:PS01102][PRIDE:P0ABS1][PRINTS:PR00618][PRODB:PRO_000022453][ECOLIWIKI:b0145][UNIPROT:P0ABS1][REFSEQ:NP_414687][ECOCYC:EG10230-MONOMER] 
ompr,57,17,21,64,52,RDBECOLIGNC00664,3535865.0,3536584.0,reverse,"cry,kmt,ompB,EG10672",[STRING:511145.b3405][ASAP:ABE-0011110][ECHOBASE:EB0666][OU-MICROARRAY:b3405][CGSC:434][ECOCYC:EG10672][REFSEQ:b3405],RDBECOLIPDC03898,DNA-binding transcriptional dual regulator OmpR,"OmpR,Kmt,Cry,OmpB,OmpR response regulator",[PDB:1OPC][ALPHAFOLD:P0AA16][PANTHER:PTHR48111][INTERPRO:IPR011006][PFAM:PF00486][PROSITE:PS50110][SMR:P0AA16][DIP:DIP-31859N][SMART:SM00448][PRIDE:P0AA16][PRODB:PRO_000023457][ECOLIWIKI:b3405][MODBASE:P0AA16][UNIPROT:P0AA16][REFSEQ:NP_417864][ECOCYC:OMPR-MONOMER] 
chbr,6,1,1,4,4,RDBECOLIGNC00139,1818605.0,1819447.0,reverse,"celD,EG10143",[STRING:511145.b1735][ASAP:ABE-0005790][ECHOBASE:EB0141][OU-MICROARRAY:b1735][CGSC:18481][ECOCYC:EG10143][REFSEQ:b1735],RDBECOLIPDC00405,ChbR,CelD,[ALPHAFOLD:P17410][INTERPRO:IPR013096][PFAM:PF12833][PRIDE:P17410][SMR:P17410][SMART:SM00342][PROSITE:PS00041][PRINTS:PR00032][PRODB:PRO_000022276][ECOLIWIKI:b1735][MODBASE:P17410][REFSEQ:NP_416249][UNIPROT:P17410][ECOCYC:EG10143-MONOMER] 
